Gene2,Gene1,Type
g100,g5,+
g100,g44,+
g56,g2,+
g56,g50,+
g27,g3,+
g27,g14,+
g69,g5,+
g69,g11,+
g79,g16,+
g79,g31,+
g71,g37,+
g71,g38,+
g47,g3,+
g47,g9,+
g52,g6,+
g52,g17,+
g37,g3,+
g37,g22,+
g40,g22,+
g40,g38,+
g85,g17,+
g85,g20,+
g96,g39,+
g96,g70,+
g82,g16,+
g82,g79,+
g77,g14,+
g77,g74,+
g8,g2,+
g8,g6,+
g55,g10,+
g55,g43,+
g1,g1,+
g87,g1,+
g87,g81,+
g44,g5,+
g44,g18,+
g25,g1,+
g25,g2,+
g29,g14,+
g29,g28,+
g17,g4,+
g17,g10,+
g84,g2,+
g84,g79,+
g66,g16,+
g66,g28,+
g35,g2,+
g35,g8,+
g70,g11,+
g70,g42,+
g76,g3,+
g76,g38,+
g36,g18,+
g36,g22,+
g10,g1,+
g10,g6,+
g99,g14,+
g99,g30,+
g41,g10,+
g41,g11,+
g21,g3,+
g21,g5,+
g28,g5,+
g28,g24,+
g5,g1,+
g5,g3,+
g9,g1,+
g9,g4,+
g19,g3,+
g19,g16,+
g94,g1,+
g94,g23,+
g57,g17,+
g57,g30,+
g4,g1,+
g4,g3,+
g98,g1,+
g98,g10,+
g48,g14,+
g48,g27,+
g89,g23,+
g89,g37,+
g91,g1,+
g91,g43,+
g23,g10,+
g23,g14,+
g62,g36,+
g62,g44,+
g93,g6,+
g93,g38,+
g88,g1,+
g88,g43,+
g53,g37,+
g53,g43,+
g78,g14,+
g78,g24,+
g49,g20,+
g49,g26,+
g2,g1,+
g34,g12,+
g34,g30,+
g54,g25,+
g54,g52,+
g97,g30,+
g97,g37,+
g58,g21,+
g58,g48,+
g73,g4,+
g73,g38,+
g83,g57,+
g83,g70,+
g18,g3,+
g18,g10,+
g3,g1,+
g3,g2,+
g15,g1,+
g15,g3,+
g80,g9,+
g80,g74,+
g16,g7,+
g16,g14,+
g60,g22,+
g60,g50,+
g59,g43,+
g59,g44,+
g32,g4,+
g32,g28,+
g38,g10,+
g38,g12,+
g39,g28,+
g39,g34,+
g33,g1,+
g33,g6,+
g68,g10,+
g68,g30,+
g67,g8,+
g67,g44,+
g22,g6,+
g22,g17,+
g51,g6,+
g51,g50,+
g11,g1,+
g11,g6,+
g6,g1,+
g6,g3,+
g63,g1,+
g63,g17,+
g42,g2,+
g42,g3,+
g7,g1,+
g7,g4,+
g72,g28,+
g72,g37,+
g95,g11,+
g95,g31,+
g12,g2,+
g12,g3,+
g46,g15,+
g46,g39,+
g24,g3,+
g24,g9,+
g14,g3,+
g14,g4,+
g92,g22,+
g92,g70,+
g50,g11,+
g50,g15,+
g81,g13,+
g81,g70,+
g26,g15,+
g26,g24,+
g31,g17,+
g31,g24,+
g74,g26,+
g74,g45,+
g86,g8,+
g86,g57,+
g65,g3,+
g65,g7,+
g30,g8,+
g30,g26,+
g61,g5,+
g61,g9,+
g43,g4,+
g43,g16,+
g64,g8,+
g64,g18,+
g20,g17,+
g20,g18,+
g75,g4,+
g75,g50,+
g45,g16,+
g45,g37,+
g90,g62,+
g90,g65,+
g13,g9,+
g13,g12,+
